alpha,beta,delta,gamma,type,name,hurst,obs,date_min,date_max,stdev,avg,kurtosis,skewness,min,max,q_1,q_2_5,q_5,q_10,q_25,q_50,q_75,q_90,q_95,q_97_5,q_99,cv,range,std_range,var_01,var_025,var_05,var_10,es_01,es_025,es_05,es_10,rho,Factor1,Factor2,Factor3
1.816278594,0.200631094,-0.579924534,1.062322086,Stock,MCHP,0.552329959,1005,10/21/2014,10/16/2018,0.016562159,0.00056681,5.466157921,-0.576448422,-0.115173754,0.089974485,-0.041976172,-0.034924846,-0.026778493,-0.01822735,-0.007817382,0.001246569,0.010044908,0.018550617,0.024440628,0.032203907,0.038440205,29.21993672,0.205148239,12.38656405,0.041976172,0.034924846,0.026778493,0.01822735,0.061344879,0.048131865,0.03904281,0.030480883,-0.01495823,-0.022669782,-0.239151827,-0.091904202
1.695611102,0.205807075,-0.167140428,1.053079503,Stock,MCK,0.458627771,1005,10/21/2014,10/16/2018,0.017748733,-0.000367666,46.07290691,-3.37074005,-0.257125665,0.08212113,-0.047730067,-0.038550151,-0.02631732,-0.017594427,-0.007601389,0.000621541,0.008284711,0.016912592,0.022800003,0.029318108,0.040189467,-48.27405276,0.339246796,19.11386037,0.047730067,0.038550151,0.02631732,0.017594427,0.07940593,0.058284754,0.044447396,0.032854455,-0.016248539,-0.137957979,1.59217752,-0.179831086
1.733605436,0.133219943,-0.111999104,1.066347791,Stock,MCO,0.588062453,1005,10/21/2014,10/16/2018,0.013076502,0.000554234,4.126971878,-0.741620588,-0.082356027,0.049877088,-0.039932758,-0.031051594,-0.01980051,-0.013995261,-0.005623115,0.001292585,0.007555274,0.014739219,0.019580222,0.025904614,0.030389362,23.59384427,0.132233115,10.11226985,0.039932758,0.031051594,0.01980051,0.013995261,0.052374894,0.042234073,0.033395136,0.024800398,0.015023544,-0.463546663,0.023310961,0.918929348
1.721480648,0.020169551,0.081704603,1.088393518,Stock,MDLZ,0.42300829,1005,10/21/2014,10/16/2018,0.013411684,0.000224568,3.268458271,0.022846084,-0.067036697,0.058759016,-0.036163955,-0.028833735,-0.020955411,-0.014262929,-0.006535204,0,0.00665927,0.015051346,0.020504928,0.029182743,0.038738062,59.72226609,0.125795713,9.379561449,0.036163955,0.028833736,0.020955411,0.014262929,0.047052638,0.038278353,0.031163036,0.024110828,-0.068144736,-0.067554571,-0.225541143,-1.425706638
1.776907915,0.06435754,-0.149696968,1.098053758,Stock,MDT,0.5188164,1005,10/21/2014,10/16/2018,0.01180189,0.000411623,5.301178111,-0.37015617,-0.090605506,0.055521808,-0.030853313,-0.02400685,-0.017831875,-0.012839772,-0.005323442,0.00049682,0.006635165,0.013252205,0.018091434,0.023823117,0.030214531,28.67160118,0.146127314,12.38168784,0.030853313,0.02400685,0.017831875,0.012839772,0.042786408,0.033284574,0.02721104,0.021263564,-0.058114345,-0.329751503,-0.206034792,-0.769858077
1.725582416,0.152835087,-0.125195782,1.080212525,Stock,MET,0.501541884,1005,10/21/2014,10/16/2018,0.016095553,1.01E-06,6.230130211,-0.898537635,-0.113265312,0.068602951,-0.046529238,-0.035744886,-0.024867278,-0.017301067,-0.007333942,0.000547496,0.008391583,0.016940341,0.022892174,0.03152617,0.04041557,16005.07014,0.181868263,11.29928643,0.046529238,0.035744886,0.024867278,0.017301067,0.06750444,0.052203955,0.041038465,0.030660222,0.028414644,-0.183578765,0.174293445,0.549863403
1.807845632,0.173783393,-0.408431157,1.053331018,Stock,MGM,0.511830296,1005,10/21/2014,10/16/2018,0.020534767,0.000239667,3.105316408,-0.342143086,-0.097136133,0.100567767,-0.057526784,-0.045402867,-0.03296219,-0.023542861,-0.01019947,0.001082891,0.012179519,0.022295556,0.029723102,0.038412169,0.04870426,85.68025922,0.1977039,9.627764679,0.057526784,0.045402867,0.03296219,0.023542861,0.076133078,0.061060995,0.0497042,0.038577905,0.033487368,0.280334611,-0.303370633,0.311859379
1.722559139,0.159817329,-0.029571877,1.083681078,Stock,MHK,0.61744832,1005,10/21/2014,10/16/2018,0.015182086,0.000182778,27.60347552,-2.293529005,-0.192484807,0.074926961,-0.043070492,-0.030651407,-0.022638927,-0.014728391,-0.006136046,0.00064533,0.007915848,0.01551828,0.02124124,0.027085682,0.034976795,83.06288617,0.267411768,17.61363829,0.043070492,0.030651407,0.022638927,0.014728391,0.066988437,0.048448002,0.037673584,0.028221018,-0.014834094,-0.400150297,0.878127085,0.755611621
1.79305669,0.156247712,-0.366707056,1.048626085,Stock,MKC,0.510522423,1005,10/21/2014,10/16/2018,0.011051979,0.000698157,4.75177801,0.134581149,-0.053604069,0.080674293,-0.030491167,-0.022572756,-0.017194506,-0.011859636,-0.004998103,0.000921904,0.006868041,0.01206163,0.016895641,0.022415285,0.026700158,15.83021917,0.134278362,12.1497123,0.030491167,0.022572756,0.017194506,0.011859636,0.036865094,0.030821607,0.02531119,0.019827081,0.014994493,-0.53279903,-0.360703885,0.166111665
1.826885717,0.027422821,-0.207728149,1.066230348,Stock,MLM,0.486504363,1005,10/21/2014,10/16/2018,0.018460153,0.000359913,5.907716236,0.571966137,-0.08856415,0.141264093,-0.045019819,-0.036922708,-0.028549405,-0.020014339,-0.009776209,0.000514043,0.010125871,0.020984559,0.028464247,0.035668943,0.044901542,51.2906165,0.229828243,12.44996451,0.045019819,0.036922708,0.028549405,0.020014339,0.05599939,0.047045138,0.039509283,0.032079775,0.006617365,0.16965514,-0.621817607,-0.386656288
1.803363043,0.036976564,-0.048205591,1.04885719,Stock,MMC,0.488646883,1005,10/21/2014,10/16/2018,0.009630597,0.000460679,2.897330994,-0.413268743,-0.049088511,0.04273584,-0.027559659,-0.020706189,-0.014559794,-0.01037425,-0.004446428,0.000595696,0.00604743,0.010679258,0.01579725,0.018938573,0.025332167,20.90522179,0.091824351,9.53464794,0.02755966,0.020706189,0.014559794,0.01037425,0.035930236,0.028996809,0.023057556,0.017689785,-0.028987856,-0.529037233,-0.256722933,-0.562175203
1.712210471,0.151537325,-0.170140967,1.112979581,Stock,MMM,0.592145508,1005,10/21/2014,10/16/2018,0.010912095,0.000383631,6.195121815,-0.701913002,-0.070771231,0.057446706,-0.03089688,-0.02369027,-0.016415054,-0.011451029,-0.004205241,0.000696062,0.005997799,0.011434213,0.016327845,0.020771524,0.024672698,28.44425228,0.128217936,11.75007569,0.03089688,0.02369027,0.016415054,0.011451029,0.046626415,0.034728217,0.02711869,0.020332696,-0.020055868,-0.618665954,0.107560192,0.509367976
1.664081374,0.134351624,-0.045577248,1.058943333,Stock,MNST,0.417949999,1005,10/21/2014,10/16/2018,0.017453044,0.00051089,17.58632542,0.297831849,-0.155940685,0.127615557,-0.042958236,-0.031506124,-0.0246533,-0.015718754,-0.00709478,0.000312356,0.008204758,0.017288042,0.022780892,0.031327167,0.043525156,34.16202864,0.283556242,16.24680693,0.042958236,0.031506124,0.0246533,0.015718754,0.066242674,0.04894212,0.03831365,0.028985719,-0.0006452,-0.043522557,0.181963013,-0.442094845
1.787757038,0.102217541,-0.150895542,1.063377734,Stock,MO,0.482818334,1005,10/21/2014,10/16/2018,0.011693831,0.000268026,7.757868379,-0.927104493,-0.099727667,0.064464935,-0.034053693,-0.023522375,-0.017538409,-0.012755497,-0.005564186,0.000559689,0.006592156,0.012830558,0.017689452,0.022255497,0.028093103,43.62950473,0.164192602,14.0409589,0.034053693,0.023522375,0.017538409,0.012755497,0.047937946,0.036546877,0.028302191,0.02175299,-0.01670772,-0.423270337,0.030821016,-0.361367155
